eventID,nswprice,nswdemand,vicprice,vicdemand,transfer
088925340106383,0.036808,0.256025,0.002368,0.347229,0.750877
08892534012766,0.028522,0.213924,0.00183,0.326774,0.755702
088925340148936,0.028552,0.186552,0.001789,0.3058,0.787719
088925340170213,0.028822,0.176436,0.00183,0.299845,0.803509
088925340191489,0.028462,0.17465,0.00177,0.280943,0.809649
088925340212766,0.029062,0.202767,0.001786,0.284568,0.809649
088925340234043,0.030473,0.242041,0.001944,0.307095,0.780702
088925340255319,0.042482,0.342458,0.002744,0.366132,0.709649
088925340276596,0.044734,0.435287,0.002933,0.44666,0.571491
088925340297872,0.029362,0.458197,0.001967,0.484723,0.495614
088925340319149,0.029332,0.52053,0.00199,0.541429,0.400877
088925340340426,0.029152,0.533175,0.001982,0.573278,0.382456
088925340361702,0.028942,0.525141,0.001973,0.571207,0.382018
088925340382979,0.028942,0.542249,0.001988,0.578457,0.389035
088925340404255,0.028942,0.547754,0.001996,0.566546,0.399561
088925340425532,0.028942,0.546415,0.001986,0.555412,0.420175
088925340446809,0.028732,0.534365,0.001971,0.546349,0.441667
088925340468085,0.027591,0.525141,0.001901,0.534697,0.419298
088925340489362,0.027321,0.518744,0.001888,0.529259,0.421053
088925340510638,0.027321,0.513686,0.001884,0.515018,0.45
088925340531915,0.027981,0.508331,0.001919,0.509322,0.472368
088925340553191,0.028942,0.504463,0.001973,0.52434,0.473246
088925340574468,0.028702,0.497471,0.001957,0.523563,0.489912
088925340595745,0.027141,0.494198,0.001872,0.513982,0.404386
088925340617021,0.027141,0.485123,0.001874,0.503625,0.423246
088925340638298,0.027141,0.4759,0.001872,0.503625,0.424561
088925340659574,0.027171,0.476346,0.001876,0.518384,0.399123
088925340680851,0.027261,0.486909,0.001882,0.523822,0.419298
088925340702128,0.027741,0.50476,0.001921,0.559037,0.384211
088925340723404,0.028221,0.552217,0.00199,0.6116,0.361842
088925340744681,0.028942,0.626004,0.002052,0.665199,0.307895
088925340765957,0.029032,0.625855,0.001971,0.645262,0.311404
088925340787234,0.028942,0.602053,0.001973,0.612636,0.364035
088925340808511,0.028221,0.559209,0.001948,0.569653,0.403947
088925340829787,0.027351,0.530646,0.00189,0.539358,0.446491
088925340851064,0.027471,0.506992,0.001888,0.509839,0.482895
08892534087234,0.027201,0.488099,0.001849,0.475919,0.502632
088925340893617,0.027111,0.449717,0.001822,0.444847,0.546491
088925340914894,0.02579,0.413567,0.001741,0.410927,0.515789
08892534093617,0.029212,0.465635,0.001861,0.381668,0.595175
088925340957447,0.027921,0.480363,0.001805,0.354997,0.642982
088925340978723,0.031854,0.482446,0.002069,0.417659,0.626316
0889253410,0.033986,0.483785,0.002181,0.416624,0.65614
0893677500,0.036388,0.473669,0.0023,0.386069,0.705702
089367750021277,0.038099,0.455668,0.002399,0.363801,0.714474
089367750042553,0.041672,0.414311,0.002665,0.422579,0.677193
08936775006383,0.042332,0.367004,0.00264,0.415329,0.675
089367750085106,0.035157,0.309134,0.00226,0.375971,0.753509
089367750106383,0.034556,0.2651,0.002212,0.353962,0.729825
08936775012766,0.029903,0.222255,0.001915,0.323666,0.765789
089367750148936,0.029032,0.193395,0.001859,0.318747,0.780702
089367750170213,0.028792,0.180303,0.001828,0.302952,0.808333
089367750191489,0.028702,0.183576,0.001795,0.300363,0.818421
089367750212766,0.031524,0.210949,0.002019,0.296479,0.755702
089367750234043,0.034016,0.259149,0.002185,0.314086,0.716667
089367750255319,0.047076,0.35064,0.003056,0.384775,0.630263
089367750276596,0.058364,0.450461,0.003857,0.460642,0.502193
089367750297872,0.033866,0.470842,0.0023,0.50492,0.358772
089367750319149,0.031224,0.524546,0.002162,0.576126,0.300877
089367750340426,0.029152,0.540315,0.002021,0.604091,0.289474
089367750361702,0.029122,0.524695,0.002011,0.613413,0.294737
089367750382979,0.028942,0.50238,0.002021,0.622475,0.316228
089367750404255,0.028942,0.487355,0.002042,0.613931,0.325
089367750425532,0.028702,0.505207,0.002023,0.60202,0.331579
089367750446809,0.028582,0.517257,0.002021,0.602538,0.326316
089367750468085,0.028882,0.509819,0.002036,0.59943,0.35
089367750489362,0.028912,0.502975,0.002036,0.59477,0.296491
089367750510638,0.028852,0.497917,0.002029,0.585189,0.313158
089367750531915,0.028191,0.490479,0.001984,0.58493,0.270614
089367750553191,0.028852,0.492264,0.002048,0.613154,0.248246
089367750574468,0.029002,0.487206,0.002061,0.618591,0.230263
089367750595745,0.029092,0.477239,0.002056,0.608493,0.237719
089367750617021,0.028942,0.467569,0.00205,0.605904,0.237719
089367750638298,0.027981,0.465486,0.001978,0.594252,0.241228
089367750659574,0.028822,0.470247,0.00204,0.603055,0.232456
089367750680851,0.029362,0.484975,0.002075,0.6116,0.215351
089367750702128,0.029843,0.511604,0.002117,0.64319,0.196053
089367750723404,0.033025,0.559209,0.002333,0.676334,0.187281
089367750744681,0.035937,0.630765,0.002528,0.734076,0.130263
089367750765957,0.035907,0.628236,0.002507,0.727084,0.2
089367750787234,0.031764,0.601607,0.002206,0.683584,0.257895
089367750808511,0.029993,0.563076,0.002081,0.636717,0.301316
089367750829787,0.034166,0.537489,0.002383,0.614966,0.283333
089367750851064,0.032785,0.522017,0.002289,0.588555,0.289035
08936775087234,0.032785,0.50476,0.002291,0.560849,0.350877
089367750893617,0.028852,0.458346,0.001996,0.520456,0.388596
089367750914894,0.027291,0.419964,0.001882,0.4855,0.407018
08936775093617,0.030173,0.462362,0.002044,0.454169,0.540351
089367750957447,0.029152,0.479024,0.001942,0.429311,0.553509
089367750978723,0.038639,0.483933,0.002586,0.481098,0.511842
0893677510,0.037288,0.482148,0.002462,0.461678,0.628947
0898102600,0.048727,0.470544,0.003199,0.436044,0.667544
089810260021277,0.041942,0.45537,0.002732,0.413775,0.686404
089810260042553,0.058965,0.418625,0.00388,0.472035,0.589035
08981026006383,0.048457,0.367004,0.003184,0.455981,0.622368
089810260085106,0.03984,0.306754,0.002601,0.419472,0.644737
089810260106383,0.041131,0.264058,0.002665,0.386846,0.673684
08981026012766,0.043023,0.219429,0.0028,0.348006,0.629825
089810260148936,0.043923,0.195031,0.002862,0.323666,0.626754
089810260170213,0.0393,0.180006,0.002572,0.315122,0.588596
089810260191489,0.031104,0.179113,0.00205,0.302175,0.602632
089810260212766,0.031254,0.212139,0.002069,0.305541,0.570614
089810260234043,0.032845,0.25424,0.002189,0.327809,0.559211
089810260255319,0.082923,0.35421,0.00555,0.392543,0.480702
089810260276596,0.155728,0.448527,0.010633,0.475142,0.22807
089810260297872,0.092951,0.484826,0.006581,0.519679,0.079386
089810260319149,0.122493,0.549093,0.008758,0.573796,0.060965
089810260340426,0.106311,0.570961,0.007603,0.641378,0.104386
089810260361702,0.274258,0.562035,0.019798,0.628431,0.098246
089810260382979,0.059385,0.564267,0.004242,0.631279,0.161842
089810260404255,0.036538,0.55787,0.002559,0.620663,0.260526
089810260425532,0.031344,0.544927,0.002162,0.569653,0.292544
089810260446809,0.030473,0.529009,0.002119,0.595287,0.325877
089810260468085,0.029753,0.520827,0.002077,0.58726,0.315789
089810260489362,0.028942,0.512199,0.002021,0.577421,0.332456
089810260510638,0.028912,0.50119,0.002023,0.561367,0.342105
089810260531915,0.028612,0.493454,0.002005,0.559296,0.283333
089810260553191,0.029723,0.483487,0.00209,0.581564,0.246053
089810260574468,0.031854,0.477685,0.002243,0.582859,0.230263
089810260595745,0.029843,0.467718,0.002106,0.566805,0.256579
089810260617021,0.028852,0.454775,0.002048,0.557742,0.269298
089810260638298,0.027351,0.442874,0.001924,0.538581,0.339474
089810260659574,0.027141,0.450461,0.001894,0.527188,0.380702
089810260680851,0.027141,0.465933,0.001892,0.535733,0.397807
089810260702128,0.027981,0.499405,0.001942,0.554894,0.42807
089810260723404,0.030473,0.556233,0.00209,0.588814,0.428947
089810260744681,0.033926,0.632104,0.002304,0.65303,0.392105
089810260765957,0.037979,0.635525,0.00257,0.673485,0.395175
089810260787234,0.036568,0.616037,0.002468,0.642672,0.417105
089810260808511,0.035667,0.577358,0.002426,0.605127,0.374561
089810260829787,0.035517,0.551473,0.00243,0.564733,0.397368
089810260851064,0.036898,0.538679,0.00254,0.538322,0.390789
08981026087234,0.035727,0.524398,0.002472,0.515795,0.372807
089810260893617,0.028071,0.487652,0.001951,0.474107,0.410088
089810260914894,0.027141,0.451949,0.001888,0.440186,0.39693
08981026093617,0.068242,0.502678,0.004699,0.423097,0.535965
089810260957447,0.071815,0.525736,0.004859,0.409891,0.478509
089810260978723,0.091179,0.52172,0.006174,0.464785,0.484211
0898102610,0.094782,0.511009,0.006315,0.444588,0.554386
0902526700,0.074397,0.485421,0.004927,0.415588,0.617544
090252670021277,0.076768,0.468759,0.005068,0.393061,0.577193
090252670042553,0.074306,0.428444,0.004942,0.440445,0.542544
09025267006383,0.073856,0.370723,0.004902,0.422838,0.536404
090252670085106,0.071334,0.315382,0.004707,0.386328,0.59386
090252670106383,0.058544,0.263612,0.00386,0.355256,0.577632
09025267012766,0.046866,0.218685,0.003089,0.326256,0.640351
090252670148936,0.045605,0.185808,0.002989,0.309684,0.639474
090252670170213,0.030803,0.165129,0.002,0.290523,0.672807
090252670191489,0.031254,0.156501,0.002015,0.273951,0.728947
090252670212766,0.031764,0.162749,0.002038,0.256603,0.741667
090252670234043,0.030984,0.176584,0.001986,0.253496,0.743421
090252670255319,0.032094,0.218387,0.002065,0.264371,0.737281
090252670276596,0.031824,0.262868,0.002056,0.280166,0.673684
090252670297872,0.050378,0.332937,0.003245,0.2768,0.745614
090252670319149,0.09211,0.421006,0.00591,0.302693,0.698246
090252670340426,0.107242,0.49152,0.006928,0.350596,0.74386
090252670361702,0.17077,0.526927,0.011086,0.381409,0.685965
090252670382979,0.15789,0.544332,0.010386,0.404972,0.648246
090252670404255,0.124445,0.534662,0.008249,0.404454,0.608772
090252670425532,0.076768,0.517406,0.005108,0.395391,0.598246
090252670446809,0.074306,0.493157,0.004952,0.387882,0.567982
090252670468085,0.050228,0.47114,0.003353,0.373641,0.539035
090252670489362,0.047226,0.449569,0.003135,0.369757,0.572368
090252670510638,0.040711,0.421303,0.00268,0.353703,0.576316
090252670531915,0.03954,0.4036,0.002601,0.35448,0.562719
090252670553191,0.037709,0.377269,0.002493,0.363283,0.547807
090252670574468,0.032245,0.358227,0.002131,0.35448,0.519298
090252670595745,0.030383,0.349896,0.002005,0.340497,0.525877
090252670617021,0.029663,0.3374,0.001957,0.328586,0.529825
090252670638298,0.029392,0.341119,0.001938,0.315898,0.53114
090252670659574,0.029783,0.348855,0.001961,0.32755,0.548684
090252670680851,0.031164,0.369087,0.002046,0.323149,0.59386
090252670702128,0.038099,0.427998,0.002499,0.351372,0.557456
090252670723404,0.044104,0.494347,0.002902,0.4029,0.494737
090252670744681,0.084604,0.611723,0.005681,0.490161,0.392544
090252670765957,0.077459,0.619458,0.005233,0.509839,0.379386
090252670787234,0.070854,0.608896,0.004765,0.489384,0.428509
090252670808511,0.070133,0.571556,0.004678,0.463749,0.468421
090252670829787,0.085775,0.542398,0.005702,0.430347,0.499561
090252670851064,0.072505,0.509521,0.004792,0.409891,0.523246
09025267087234,0.06551,0.49152,0.004308,0.385552,0.546053
090252670893617,0.062808,0.471586,0.004117,0.36639,0.582018
090252670914894,0.046776,0.437221,0.003068,0.348524,0.595614
09025267093617,0.056593,0.457304,0.003708,0.337131,0.628947
090252670957447,0.048937,0.451354,0.003205,0.343086,0.59386
090252670978723,0.061036,0.446593,0.004028,0.393061,0.538158
0902526710,0.040561,0.415799,0.002678,0.372087,0.575439
0885049100,0.043083,0.390509,0.002829,0.367167,0.57807
088504910021277,0.037799,0.342904,0.00248,0.350596,0.589474
088504910042553,0.040201,0.311961,0.002659,0.403418,0.510526
08850491006383,0.036868,0.267331,0.002437,0.377007,0.566228
088504910085106,0.031914,0.222702,0.002092,0.342569,0.584649
088504910106383,0.030743,0.191312,0.002009,0.318747,0.592982
08850491012766,0.030473,0.16632,0.00199,0.297773,0.584649
088504910148936,0.029512,0.1446,0.001926,0.282755,0.602632
088504910170213,0.028972,0.13136,0.001886,0.259192,0.669298
088504910191489,0.028762,0.126897,0.00187,0.236406,0.725
088504910212766,0.028372,0.127938,0.001838,0.215691,0.756579
088504910234043,0.028011,0.141178,0.001813,0.20145,0.79386
088504910255319,0.027591,0.169295,0.00178,0.194718,0.784649
088504910276596,0.028462,0.194139,0.001832,0.194459,0.797807
088504910297872,0.028822,0.243231,0.00092,0.159762,0.831579
088504910319149,0.030803,0.321928,0.001942,0.188762,0.823246
088504910340426,0.037198,0.390062,0.002349,0.226049,0.787281
088504910361702,0.042422,0.449866,0.0027,0.262817,0.797807
088504910382979,0.041912,0.480512,0.002676,0.285344,0.766667
088504910404255,0.041762,0.485867,0.002676,0.282496,0.750877
088504910425532,0.041221,0.47709,0.002648,0.284568,0.721053
088504910446809,0.040771,0.453585,0.002628,0.286639,0.751316
088504910468085,0.035997,0.429783,0.00231,0.282755,0.726754
088504910489362,0.031344,0.407914,0.002019,0.269032,0.690789
088504910510638,0.030924,0.380393,0.002,0.278612,0.652632
088504910531915,0.029512,0.348111,0.001909,0.270844,0.656579
088504910553191,0.029242,0.321035,0.001903,0.283791,0.627632
088504910574468,0.029152,0.299316,0.001762,0.267996,0.634211
088504910595745,0.029002,0.283844,0.001629,0.249871,0.634211
088504910617021,0.028762,0.272092,0.001843,0.243397,0.652193
088504910638298,0.029122,0.270158,0.001899,0.23304,0.590789
088504910659574,0.029242,0.284439,0.001917,0.237442,0.597807
088504910680851,0.029182,0.306159,0.001919,0.245728,0.571491
088504910702128,0.029903,0.356144,0.001961,0.273692,0.592105
088504910723404,0.032575,0.431568,0.002131,0.325738,0.550877
088504910744681,0.090819,0.534811,0.006028,0.411445,0.496053
088504910765957,0.111174,0.577358,0.007455,0.43941,0.486842
088504910787234,0.087937,0.565754,0.005893,0.431901,0.491228
088504910808511,0.097874,0.551324,0.006548,0.412998,0.535965
088504910829787,0.136003,0.538084,0.009076,0.400311,0.540351
088504910851064,0.102048,0.52529,0.006811,0.384516,0.595175
08850491087234,0.107692,0.509521,0.007144,0.374417,0.589912
088504910893617,0.073015,0.473371,0.00483,0.349042,0.575877
088504910914894,0.059115,0.43737,0.003916,0.32755,0.559211
08850491093617,0.0659,0.45418,0.00436,0.313309,0.591667
088504910957447,0.055512,0.437816,0.003675,0.300104,0.574561
088504910978723,0.061066,0.420113,0.004071,0.337649,0.529386
0885049110,0.048517,0.380839,0.003236,0.323666,0.561404
0885094200,0.045815,0.368492,0.003024,0.31564,0.589912
088509420021277,0.038009,0.328176,0.002489,0.291818,0.619737
088509420042553,0.040921,0.306605,0.002709,0.357069,0.518421
08850942006383,0.037739,0.274621,0.002489,0.33972,0.613158
088509420085106,0.034856,0.237578,0.002277,0.316157,0.614912
088509420106383,0.033145,0.211247,0.00215,0.280166,0.671491
08850942012766,0.031224,0.184766,0.002002,0.245728,0.661404
088509420148936,0.029843,0.1687,0.001919,0.257639,0.663158
088509420170213,0.034676,0.173907,0.002239,0.252201,0.684211
088509420191489,0.029392,0.176436,0.001899,0.23796,0.717982
088509420212766,0.032755,0.212437,0.002115,0.249871,0.725
088509420234043,0.037468,0.267777,0.00242,0.26696,0.701754
088509420255319,0.06521,0.37831,0.004038,0.337649,0.649123
088509420276596,0.068602,0.48319,0.004292,0.408079,0.509211
088509420297872,0.041371,0.529158,0.002833,0.477991,0.361842
088509420319149,0.051459,0.613954,0.003612,0.555153,0.274561
088509420340426,0.059835,0.636418,0.004231,0.606163,0.204386
088509420361702,0.051129,0.628682,0.003637,0.624547,0.183772
088509420382979,0.040261,0.629872,0.002862,0.640601,0.157018
088509420404255,0.040261,0.630021,0.002858,0.647851,0.180702
088509420425532,0.040261,0.619756,0.002865,0.64552,0.148246
088509420446809,0.040261,0.596995,0.002879,0.638788,0.157895
088509420468085,0.040261,0.577209,0.002883,0.644485,0.118421
088509420489362,0.040261,0.566498,0.0029,0.65536,0.088158
088509420510638,0.040261,0.555638,0.0029,0.64552,0.103947
088509420531915,0.040261,0.544035,0.002908,0.64811,0.065351
088509420553191,0.037468,0.536001,0.002763,0.682548,0.058772
088509420574468,0.038399,0.536001,0.004439,0.682289,0.035965
088509420595745,0.029813,0.52886,0.004516,0.674262,0.091228
088509420617021,0.027861,0.511009,0.004059,0.660798,0.099123
088509420638298,0.035097,0.506248,0.002605,0.641378,0.132895
088509420659574,0.029242,0.515025,0.002092,0.648628,0.124123
088509420680851,0.062357,0.526778,0.004393,0.659762,0.23114
088509420702128,0.128858,0.572449,0.008959,0.675816,0.255263
088509420723404,0.249249,0.650253,0.016984,0.704816,0.35307
088509420744681,0.963612,0.72895,0.065099,0.744692,0.374123
088509420765957,0.388795,0.726867,0.026119,0.711289,0.419298
088509420787234,0.048487,0.700238,0.003297,0.669342,0.245175
088509420808511,0.032275,0.661559,0.002241,0.623252,0.24386
088509420829787,0.040891,0.627641,0.002865,0.582859,0.253947
088509420851064,0.036418,0.602053,0.002559,0.553081,0.261842
08850942087234,0.037979,0.580333,0.002671,0.52175,0.3
088509420893617,0.034226,0.534216,0.002403,0.48291,0.342982
088509420914894,0.030653,0.466528,0.002142,0.443294,0.393421
08850942093617,0.03918,0.50848,0.002698,0.409632,0.489474
088509420957447,0.029993,0.513835,0.002009,0.376748,0.508772
088509420978723,0.03981,0.513538,0.002661,0.433972,0.490789
0885094210,0.044494,0.511157,0.00296,0.410927,0.554825
0885138300,0.055092,0.50357,0.003654,0.388141,0.560526
088513830021277,0.041161,0.487801,0.002721,0.363801,0.585965
088513830042553,0.05269,0.452544,0.003511,0.417659,0.474561
08851383006383,0.047886,0.395864,0.003178,0.401605,0.529386
088513830085106,0.047736,0.338143,0.003139,0.370016,0.606579
088513830106383,0.03996,0.291877,0.002524,0.33014,0.695175
08851383012766,0.040861,0.251562,0.002013,0.302434,0.68114
088513830148936,0.035697,0.21809,0.002312,0.283791,0.665351
088513830170213,0.030263,0.202767,0.001948,0.273175,0.682018
088513830191489,0.029542,0.200089,0.001899,0.270067,0.692982
088513830212766,0.029873,0.228503,0.001917,0.273692,0.699561
088513830234043,0.034977,0.284737,0.002254,0.296479,0.683333
088513830255319,0.042242,0.380393,0.002771,0.361471,0.583333
088513830276596,0.186922,0.483041,0.01243,0.440963,0.484211
088513830297872,0.031734,0.51324,0.002167,0.494303,0.350877
088513830319149,0.034466,0.578251,0.002383,0.568617,0.300877
088513830340426,0.029092,0.585094,0.002015,0.611859,0.259649
088513830361702,0.030533,0.576763,0.002115,0.612895,0.230263
088513830382979,0.032425,0.581523,0.002241,0.618074,0.267105
088513830404255,0.031104,0.572002,0.002164,0.617297,0.235965
088513830425532,0.035367,0.563076,0.002468,0.603832,0.189912
088513830446809,0.029182,0.547456,0.002044,0.596582,0.169298
088513830468085,0.042692,0.532431,0.002997,0.591662,0.2
088513830489362,0.034917,0.518001,0.002462,0.582859,0.225877
088513830510638,0.03915,0.517554,0.002759,0.570689,0.198684
088513830531915,0.033776,0.501934,0.002368,0.562403,0.234211
088513830553191,0.031104,0.497025,0.002171,0.585707,0.196491
088513830574468,0.038459,0.49524,0.002686,0.590627,0.186404
088513830595745,0.040261,0.492115,0.002831,0.578716,0.178947
088513830617021,0.034436,0.481553,0.002418,0.570689,0.194737
088513830638298,0.0399,0.475751,0.0028,0.563956,0.22193
088513830659574,0.035067,0.482297,0.002459,0.561885,0.210965
088513830680851,0.045274,0.507736,0.003199,0.576126,0.184211
088513830702128,0.044704,0.55058,0.003149,0.58726,0.210526
088513830723404,0.188183,0.614252,0.013155,0.641378,0.264474
088513830744681,0.082743,0.669146,0.005742,0.69912,0.232895
088513830765957,0.14414,0.677626,0.009975,0.690057,0.278509
088513830787234,0.040261,0.644154,0.002775,0.637494,0.267982
088513830808511,0.03921,0.600268,0.002696,0.602279,0.325439
088513830829787,0.043683,0.560399,0.003022,0.563698,0.321491
088513830851064,0.029002,0.557572,0.001975,0.542206,0.242105
08851383087234,0.029362,0.537489,0.002005,0.50233,0.31886
088513830893617,0.032545,0.491967,0.002241,0.471258,0.362281
088513830914894,0.028041,0.442874,0.001928,0.438892,0.417982
08851383093617,0.031284,0.489438,0.002117,0.408597,0.516228
088513830957447,0.030353,0.501339,0.002025,0.384775,0.474123
088513830978723,0.040411,0.497917,0.002707,0.430606,0.489474
0885138310,0.045815,0.500149,0.003047,0.421025,0.546491
0885182400,0.038039,0.487057,0.002507,0.398757,0.590789
088518240021277,0.038729,0.475007,0.00253,0.367944,0.62193
088518240042553,0.045244,0.444808,0.002977,0.42957,0.520614
08851824006383,0.03894,0.385153,0.002545,0.408079,0.603947
088518240085106,0.032905,0.325796,0.002123,0.366908,0.59386
088518240106383,0.035187,0.276555,0.002254,0.335577,0.660965
08851824012766,0.030954,0.234454,0.001971,0.306059,0.705702
088518240148936,0.038369,0.206784,0.002457,0.297514,0.720175
088518240170213,0.029903,0.1867,0.001915,0.282755,0.750877
088518240191489,0.029092,0.192205,0.001855,0.270067,0.754825
088518240212766,0.029633,0.221363,0.001888,0.265665,0.725439
088518240234043,0.032034,0.271199,0.002059,0.286898,0.707895
088518240255319,0.047496,0.368789,0.003108,0.350337,0.582018
088518240276596,0.194248,0.466082,0.012291,0.428276,0.496053
088518240297872,0.034736,0.489735,0.00237,0.477214,0.345614
088518240319149,0.034466,0.55177,0.002383,0.532885,0.314474
088518240340426,0.032455,0.562035,0.002241,0.562921,0.246053
088518240361702,0.029332,0.55296,0.002009,0.560073,0.204386
088518240382979,0.029302,0.55906,0.002015,0.567064,0.292105
088518240404255,0.029242,0.55058,0.002011,0.555412,0.289912
088518240425532,0.030173,0.551026,0.002048,0.548938,0.378509
088518240446809,0.038099,0.537489,0.002613,0.546608,0.314912
088518240468085,0.029422,0.528117,0.002009,0.534438,0.192544
088518240489362,0.029212,0.521571,0.002011,0.527965,0.308333
088518240510638,0.029302,0.516959,0.002013,0.520456,0.312719
088518240531915,0.029723,0.509521,0.002052,0.52175,0.285526
088518240553191,0.029092,0.503868,0.002009,0.535215,0.244737
088518240574468,0.029182,0.499554,0.002009,0.535474,0.227193
088518240595745,0.030023,0.487504,0.002073,0.525375,0.256579
088518240617021,0.029122,0.479768,0.002009,0.519938,0.246053
088518240638298,0.029062,0.481256,0.002009,0.505955,0.275877
088518240659574,0.029092,0.492115,0.002,0.504661,0.313158
088518240680851,0.029242,0.512943,0.00199,0.509322,0.252632
088518240702128,0.034917,0.553555,0.002383,0.510875,0.361404
088518240723404,0.075988,0.616037,0.00512,0.549715,0.454386
088518240744681,0.10481,0.670931,0.007,0.623252,0.517544
088518240765957,0.080581,0.659625,0.005316,0.62377,0.430263
088518240787234,0.059265,0.63255,0.003924,0.582341,0.422807
088518240808511,0.048006,0.591342,0.00318,0.543501,0.416228
088518240829787,0.033626,0.557423,0.002256,0.512688,0.328947
088518240851064,0.029783,0.540018,0.002009,0.483428,0.340789
08851824087234,0.031284,0.514133,0.002113,0.452097,0.405702
088518240893617,0.028972,0.473966,0.001948,0.42465,0.434211
088518240914894,0.029002,0.434246,0.001955,0.394096,0.47807
08851824093617,0.029753,0.475602,0.001988,0.380114,0.504386
088518240957447,0.029723,0.490777,0.001978,0.355774,0.515789
088518240978723,0.029723,0.506843,0.001988,0.412998,0.414035
0885182410,0.030413,0.500893,0.002009,0.400829,0.497807
0885226500,0.041401,0.487206,0.002721,0.369498,0.592544
088522650021277,0.038669,0.467569,0.00253,0.339202,0.615789
088522650042553,0.036778,0.432312,0.00242,0.400052,0.542105
08852265006383,0.035397,0.375781,0.0023,0.367944,0.539912
088522650085106,0.034136,0.319994,0.002202,0.336095,0.607895
088522650106383,0.035427,0.273728,0.002285,0.310461,0.652632
08852265012766,0.03966,0.23252,0.002565,0.285085,0.610088
088522650148936,0.040651,0.202916,0.002653,0.266442,0.634211
088522650170213,0.042422,0.189527,0.002763,0.252719,0.661842
088522650191489,0.041281,0.196816,0.002688,0.247022,0.657895
088522650212766,0.043323,0.222255,0.002821,0.24754,0.648246
088522650234043,0.034226,0.268968,0.002237,0.26204,0.596491
088522650255319,0.063859,0.364921,0.004246,0.322372,0.504386
088522650276596,0.07923,0.457007,0.005374,0.412998,0.328509
088522650297872,0.034286,0.481702,0.002387,0.454428,0.197807
088522650319149,0.03981,0.54582,0.002808,0.519161,0.158772
088522650340426,0.038189,0.557423,0.00269,0.555412,0.177632
088522650361702,0.040261,0.548051,0.002825,0.544795,0.181579
088522650382979,0.034526,0.563969,0.002414,0.557742,0.217544
088522650404255,0.029122,0.56263,0.002023,0.539099,0.235965
088522650425532,0.03981,0.55787,0.002769,0.541947,0.228947
088522650446809,0.03996,0.545522,0.002792,0.535992,0.211842
088522650468085,0.03915,0.538976,0.002742,0.526929,0.233333
088522650489362,0.036087,0.537043,0.002526,0.520974,0.229386
088522650510638,0.03936,0.531092,0.002759,0.512429,0.251316
088522650531915,0.033686,0.52529,0.002349,0.468928,0.306579
